Time (s),"Trial 1 (test, no added mass)",Trial 2 ,Trial 3,Trial 4,Trial 5,Trial 6
0.844,0.01594965386,0.1296690838,0.08263236023,0.1223047329,-0.002862446602,0.1496920259
0.848,0.009814647774,0.1358040899,0.08876736632,0.128439739,0.003272559489,0.155827032
0.852,0.009814647774,0.1296690838,0.08876736632,0.1345747451,-0.008997452692,0.155827032
0.856,0.01594965386,0.1235340777,0.08876736632,0.1345747451,-0.008997452692,0.1496920259
0.86,0.01594965386,0.1235340777,0.08876736632,0.128439739,-0.008997452692,0.1435570198
0.864,0.02208465996,0.1235340777,0.08263236023,0.128439739,-0.002862446602,0.1496920259
0.868,0.01594965386,0.1235340777,0.08876736632,0.1345747451,-0.008997452692,0.1496920259
0.872,0.009814647774,0.1112640656,0.09490237241,0.1407097512,-0.008997452692,0.155827032
0.876,0.01594965386,0.1173990716,0.08876736632,0.1345747451,-0.008997452692,0.155827032
0.88,0.01594965386,0.1358040899,0.08263236023,0.128439739,-0.008997452692,0.1435570198
0.884,0.009814647774,0.1235340777,0.08876736632,0.1345747451,-0.008997452692,0.1435570198
0.888,0.009814647774,0.1173990716,0.08876736632,0.128439739,-0.008997452692,0.155827032
0.892,0.01594965386,0.1235340777,0.07649735413,0.1223047329,-0.01513245878,0.1435570198
0.896,0.01594965386,0.1358040899,0.07649735413,0.128439739,-0.008997452692,0.1496920259
0.9,0.003679641683,0.1296690838,0.08263236023,0.1345747451,-0.002862446602,0.1496920259
0.904,-0.002455364408,0.1173990716,0.08876736632,0.128439739,-0.008997452692,0.155827032
0.908,0.009814647774,0.1235340777,0.07649735413,0.128439739,-0.008997452692,0.1496920259
0.912,0.009814647774,0.1296690838,0.07649735413,0.1223047329,-0.008997452692,0.1496920259
0.916,-0.002455364408,0.1358040899,0.08263236023,0.128439739,0.003272559489,0.1496920259
0.92,-0.002455364408,0.1235340777,0.09490237241,0.1345747451,-0.002862446602,0.155827032
0.924,0.003679641683,0.1173990716,0.08876736632,0.128439739,-0.002862446602,0.155827032
0.928,0.009814647774,0.1235340777,0.08263236023,0.128439739,0.003272559489,0.1496920259
0.932,0.009814647774,0.1358040899,0.08876736632,0.128439739,0.003272559489,0.1496920259
0.936,0.003679641683,0.1296690838,0.08876736632,0.1345747451,-0.002862446602,0.1496920259
0.94,0.009814647774,0.1235340777,0.09490237241,0.1345747451,-0.002862446602,0.1435570198
0.944,0.009814647774,0.1296690838,0.08876736632,0.1223047329,-0.002862446602,0.1374220137
0.948,0.003679641683,0.1358040899,0.08263236023,0.128439739,0.003272559489,0.1374220137
0.952,0.003679641683,0.1235340777,0.08263236023,0.1345747451,-0.008997452692,0.1435570198
0.956,-0.002455364408,0.1235340777,0.09490237241,0.1345747451,-0.008997452692,0.1435570198
0.96,0.003679641683,0.1173990716,0.08263236023,0.1223047329,-0.008997452692,0.1435570198
0.964,0.009814647774,0.1296690838,0.08263236023,0.1345747451,-0.008997452692,0.1435570198
0.968,0.009814647774,0.1235340777,0.08876736632,0.1345747451,-0.008997452692,0.1435570198
0.972,0.003679641683,0.1173990716,0.1010373785,0.1345747451,-0.01513245878,0.1496920259
0.976,0.003679641683,0.1235340777,0.08876736632,0.128439739,-0.008997452692,0.1496920259
0.98,0.02208465996,0.1296690838,0.08876736632,0.128439739,-0.002862446602,0.1496920259
0.984,0.009814647774,0.1358040899,0.09490237241,0.1345747451,0.003272559489,0.1496920259
0.988,-0.002455364408,0.1235340777,0.1010373785,0.1407097512,0.003272559489,0.1619620381
0.992,0.003679641683,0.1235340777,0.09490237241,0.1345747451,-0.008997452692,0.1619620381
0.996,0.01594965386,0.1358040899,0.08876736632,0.1223047329,-0.002862446602,0.155827032
1,0.009814647774,0.1358040899,0.1010373785,0.1345747451,0.003272559489,0.155827032
,,1 kg added,""" """,1.5 kg,No weights,1.5 kg
